Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
25-2-19,134,61084.99,59122.65,,,,,,,,,,,,
25-2-20,134,61368.11,59066.01,true,true,0,2,74,0,0,1,0,3,Daily1,Yes
25-2-25,134,61574.76,59023.5,,,,,,,,,,,,
25-2-26,134,61910.63,59036.77,true,,,2,75,0,0,1,0,3,Daily1,Yes
25-2-27,134,61953.42,58931.9,,,,,,,,,,,,
25-2-28,134,61961.66,58749.48,,true,0,,,,,,,,,
25-2-29,134,62014.2,58454.81,,,,,,,,,,,,
25-2-30,134,62074.12,58131.63,,,,,,,,,,,,
25-2-31,134,62137.91,58142.25,,,,,,,,,,,,
25-2-32,134,62232.87,58155.87,true,,,2,146,0,0,1,0,3,Daily1,Yes
25-2-39,134,62243.49,59056.98,,,,,,,,,,,,
25-2-40,134,62499.91,59041.41,,,,,,,,,,,,
25-2-41,134,62764.15,58997.14,true,,,2,0,0,0,1,0,3,Daily1,Yes
25-2-42,134,63021.44,58901.68,true,,,2,640,0,0,1,0,3,Canyon_Daily,Yes
25-2-6,134,60291.63,59448.06,,,,,,,,,,,,
25-2-7,134,60602.44,59274.03,true,,,2,39,0,0,1,0,3,Daily1,Yes
26-1-43,134,54765.99,57030.24,,,,,,,,,,,,
26-1-44,134,54770.87,57451.87,,,,,,,,,,,,
26-1-45,134,54775.53,57803.41,,,,,,,,,,,,
26-1-46,134,54777.52,57927.98,true,,,2,16,0,0,1,0,3,Daily1,Yes
26-1-47,134,55061.82,57925.49,true,true,0,2,176,0,0,1,0,3,Daily1,Yes
26-1-88,134,55315.89,57923.36,true,,,2,25,0,0,1,0,3,Daily1,Yes
26-1-90,134,55777.03,57919.32,,,,,,,,,,,,
26-1-91,134,56206.37,57915.43,,,,,,,,,,,,
26-1-92,134,56329.41,57913.25,true,true,0,2,22,0,0,1,0,3,Daily1,Yes
26-1-93,134,56658.01,57909.11,,,,,,,,,,,,
26-1-94,134,57085.12,57902.28,,,,,,,,,,,,
26-1-95,134,57285.55,57941.71,,,,,,,,,,,,
26-1-96,134,57318.33,57693.23,true,,,2,163,0,0,1,0,3,Daily1,Yes
26-2-1,134,54780.09,58154.35,,,,,,,,,,,,
26-2-11,134,54787.39,58702.96,,true,0,,,,,,,,,
26-2-16,134,54790.97,58953.2,true,true,0,2,26,0,0,1,0,3,Daily1,Yes
26-2-2,134,54783.61,58409.09,true,true,0,2,57,0,0,1,0,3,Daily1,Yes
26-2-21,134,54791.5,59002.06,true,,,2,21,0,0,1,0,3,Daily1,Yes
26-2-22,134,54795.35,59303.74,,,,,,,,,,,,
26-2-23,134,54800.04,59652.94,,,,,,,,,,,,
26-2-24,134,54804.54,59940.71,true,,,2,30,0,0,1,0,3,Daily1,Yes
26-2-24.1,134,54805.01,60002.93,,,,,,,,,,,,
26-2-28,134,54809.79,60353.62,,,,,,,,,,,,
26-2-29,134,54815.12,60707.39,,,,,,,,,,,,
26-2-30,134,55091.46,60704.82,true,,,2,10,0,0,1,0,3,Daily1,Yes
26-2-32,134,55196.33,60705.39,,,,,,,,,,,,
26-2-33,134,55348.09,60703.72,true,true,0,2,32,0,0,1,0,3,Daily1,Yes
26-2-37,134,55599.93,60701.46,true,,,2,308,0,0,1,0,3,Daily1,Yes
26-2-39,134,55643.25,60656.54,,,,,,,,,,,,
26-2-94,134,56896.44,60690.49,,,,,,,,,,,,
26-2-95,134,56926.24,60690.26,,true,0,,,,,,,,,
26-2-96,134,57142.8,60688.49,true,,,2,13,0,0,1,0,3,Daily1,Yes
26-2-96.1,134,57342.12,60688.1,true,true,0,2,7,0,0,1,0,3,Daily1,Yes
26-2-99,134,57495.47,60686.16,true,,,2,23,0,0,1,0,3,Daily1,Yes
26-3-1,134,57593.39,60685.39,true,,,2,9,0,0,1,0,3,Daily1,Yes
26-3-23,134,58199.16,60574.43,,,,,,,,,,,,
26-3-24,134,58492.13,60417.1,,,,,,,,,,,,
26-3-25,134,58637.82,60339.37,true,true,0,2,223,0,0,1,0,3,Daily1,Yes
26-3-3,134,57846.51,60683.32,,true,0,,,,,,,,,
26-3-4,134,57921.71,60660.02,true,,,2,99,0,0,1,0,3,Daily1,Yes
26-3-70,134,58648.95,60349.81,,,,,,,,,,,,
26-3-71,134,58984.62,60170.26,false,,,,,,,,,,,
26-3-72,134,59006.97,60196.39,,,,,,,,,,,,
26-3-73,134,59217.22,60083.43,,,,,,,,,,,,
26-3-73.1,134,59465.57,59951.3,true,true,0,2,10,0,0,1,0,3,Daily1,Yes
26-3-73.5,134,59344.72,60013.95,,true,0,,,,,,,,,
26-3-74,134,59484.05,59939.71,,true,0,,,,,,,,,
26-3-75,134,59736.72,59803.58,,true,0,,,,,,,,,
26-3-76,134,59821.38,59730.77,true,true,0,2,16,0,0,1,0,3,Daily1,Yes
26-3-83,134,59909.36,59659.42,,,,,,,,,,,,
26-3-84,134,60046.9,59582.85,true,true,0,2,66,0,0,1,0,3,Daily1,Yes
27-1-45,134,52144.09,57954.31,,,,,,,,,,,,
27-1-46,134,52141.68,57649.69,,,,,,,,,,,,
27-1-47,134,52141.59,57568.24,true,true,0,2,33,0,0,1,0,3,Daily1,Yes
27-1-47.1,134,52141.53,57484.39,true,true,0,2,6,0,0,1,0,3,Daily1,Yes
27-1-48,134,52139.22,57254.1,true,,,2,14,0,0,1,0,3,Daily1,Yes
27-1-49,134,52139.03,57219.56,true,,,2,6,0,0,1,0,3,Daily1,Yes
27-1-51,134,52134.99,56742.66,,,,,,,,,,,,
27-1-52,134,50131.04,55583.61,true,,,2,366,0,0,1,0,3,Daily1,Yes
27-2-101,134,51104.89,60731.18,true,,,2,43,0,0,1,0,3,Daily1,Yes
27-2-102,134,51501.67,60727.25,,,,,,,,,,,,
27-2-103,134,51853.53,60724.02,,,,,,,,,,,,
27-2-104,134,52167.39,60719.24,true,,,2,61,0,0,1,0,3,Daily1,Yes
27-2-105,134,52164.19,60353.4,,,,,,,,,,,,
27-2-106,134,52161.41,60002.07,,,,,,,,,,,,
27-2-107,134,52159.59,59864.34,true,,,2,31,0,0,1,0,3,Daily1,Yes
27-2-108,134,52159.14,59737.16,true,,,2,33,0,0,1,0,3,Daily1,Yes
27-2-109,134,52158.8,59699.7,,,,,,,,,,,,
27-2-110,134,52156.81,59463.91,true,,,2,34,0,0,1,0,3,Daily1,Yes
27-2-111,134,52156.32,59350.07,,,,,,,,,,,,
27-2-112,134,52155.14,59223.07,true,true,0,2,43,0,0,1,0,3,Daily1,Yes
27-2-113,134,52152.33,58954.6,,,,,,,,,,,,
27-2-114,134,52152.04,58718.03,true,,,2,158,0,0,1,0,3,Daily1,Yes
27-2-115,134,52149.56,58602.5,,,,,,,,,,,,
27-2-116,134,52148.68,58469.71,true,,,2,190,0,0,1,0,3,Daily1,Yes
27-2-117,134,52146.72,58257.07,,,,,,,,,,,,
27-2-118,134,52146.48,58226.88,true,,,2,45,0,0,1,0,3,Daily1,Yes
