name,type_code,us_node,ds_node,length,diameter,slope,roughness,shape,us_invert,ds_invert
1465,136,4-4-92,4-4-93,376.5,1,0.59,0.013,1,4679.13,4676.91
1466,136,4-4-93,4-1-96,85.11,1,0.552,0.013,1,4676.89,4676.42
1487,136,5-2-2,5-2-1,409.85,1.5,2.64,0.013,1,4630.19,4619.36
1488,136,5-2-3,5-2-2.3,34.89,2.33,0.917,0.013,1,4633,4632.68
1489,136,5-2-4,5-2-3,40.24,1.5,2.237,0.013,1,4639.04,4638.14
1490,136,5-2-5,5-2-4,94.31,1.5,0.93,0.013,1,4640.2,4639.32
1491,136,5-2-6,5-2-5,49.32,1.5,12.368,0.013,1,4646.32,4640.22
1492,136,5-2-7,5-2-6,363.9,1.5,0.206,0.013,1,4646.86,4646.11
1493,136,5-2-8,5-2-7,396.51,1.5,0.204,0.013,1,4647.86,4647.05
1494,136,5-2-9,5-2-8,249.33,1.5,0.22,0.013,1,4648.51,4647.97
1495,136,5-2-10,5-2-9,73.2,1.5,0.19,0.013,1,4648.89,4648.75
1496,136,5-2-11,5-2-10,225.95,1.5,1.07,0.013,1,4651.39,4648.97
1497,136,5-2-12,5-2-11,50.19,1.5,1.04,0.013,1,4651.94,4651.42
1498,136,5-3-1,5-2-12,409.15,1.5,0.78,0.013,1,4655.13,4651.94
1499,136,5-2-13,5-2-6,110.62,1.5,0.8,0.013,1,4647,4646.11
1500,136,5-2-14,5-2-13,388.11,1.5,0.415,0.013,1,4649.08,4647.47
1501,136,5-2-15,5-2-14,299.95,1.5,0.447,0.013,1,4650.5,4649.16
1506,136,5-2-19,5-2-15,62.21,1.5,3.151,0.013,1,4652.54,4650.58
1507,136,5-2-20,5-2-19,352.78,1,1.46,0.013,1,4657.9,4652.75
1509,136,5-2-22,5-2-21,320.61,1,1.02,0.013,1,4667.17,4663.9
1510,136,5-2-23,5-2-22,388.57,1,1.418,0.013,1,4672.75,4667.24
1517,136,5-2-28,5-2-27,364.09,0.67,1.79,0.013,1,4650.31,4643.78
1519,136,5-2-30,5-2-28,134.34,0.67,4.34,0.013,1,4656.19,4650.36
1520,136,5-2-31,5-2-30,250.21,0.67,7.59,0.013,1,4675.23,4656.24
1534,136,5-2-45,5-2-44,140.81,0.67,6.022,0.013,1,4627.26,4618.78
1536,136,5-2-46,5-2-45,400.84,0.67,2.65,0.013,1,4639.23,4628.62
1537,136,5-2-47,5-2-46,134.49,0.67,2.57,0.013,1,4642.91,4639.46
1538,136,5-2-48,5-2-47,214.42,0.67,2.51,0.013,1,4648.38,4643
1539,136,4-1-77,5-2-48,316.41,0.67,3.26,0.013,1,4658.96,4648.66
1543,136,5-2-53,5-2-45,182.27,1,2.266,0.013,1,4631.51,4627.38
1544,136,5-2-54,5-2-53,75.76,1,2.138,0.013,1,4633.15,4631.53
1546,136,5-2-56,5-2-54,173.28,1,2.447,0.013,1,4637.49,4633.25
1547,136,5-2-57,5-2-56,79.88,1,1.565,0.013,1,4638.77,4637.52
1552,136,5-3-2,5-3-1,466.7,1.5,0.65,0.013,1,4658.18,4655.14
1553,136,5-3-3,5-3-2,503.99,1.5,0.1,0.013,1,4658.73,4658.25
1554,136,5-3-4,5-3-3,502.34,1.5,0.18,0.013,1,4659.63,4658.75
1555,136,5-3-5,5-3-4,495.39,1.5,0.18,0.013,1,4660.92,4660.03
1557,136,5-3-6,5-3-5,35.77,1.5,0.62,0.013,1,4661.18,4660.96
1559,136,5-3-8,5-3-7,249.12,1.5,11.26,0.013,1,4711.65,4683.6
1560,136,5-3-9,5-3-8,149.05,1.5,1.2,0.013,1,4713.76,4711.97
1562,136,5-3-11,5-3-10,432.63,1.5,0.52,0.013,1,4721.22,4718.95
1563,136,5-3-12,5-3-11,331.64,1.5,0.53,0.013,1,4723.15,4721.39
1594,136,7-3-1,6-1-1,347.02,3.25,0.069,0.013,1,4278.05,4277.81
1595,136,6-1-1,6-1-2,337.07,3.25,0.258,0.013,1,4277.71,4276.84
1596,136,6-1-2,6-1-3,314.31,3.25,0.13,0.013,1,4276.84,4276.44
1597,136,6-1-3,6-1-4,247.86,3.25,0.07,0.013,1,4276.4,4276.22
1599,136,6-1-5,6-1-6,243.2,2.75,0.27,0.013,1,4275.5,4274.84
1600,136,6-1-6,6-1-7,766.08,2.75,0.33,0.013,1,4274.67,4272.15
1601,136,6-1-7,6-1-8,161.27,2.75,0.29,0.013,1,4272.14,4271.67
1602,136,6-1-8,6-1-9,803.86,2.75,0.212,0.013,1,4271.57,4269.87
1603,136,6-1-9,6-1-10,22.88,2.75,0.26,0.013,1,4269.77,4269.71
1604,136,6-1-10,6-2-1,487.81,2.75,0.27,0.013,1,4269.63,4268.31
1605,136,6-2-1,6-2-2,165.82,2.75,0.25,0.013,1,4268.25,4267.83
1606,136,6-2-2,6-2-3,72.61,2.75,0.22,0.013,1,4267.78,4267.62
1607,136,6-2-3,6-2-4,243.15,2.75,0.123,0.013,1,4267.56,4267.26
1608,136,6-2-4,6-2-5,210.24,2.75,0.666,0.013,1,4267.15,4265.75
1609,136,6-2-5,6-2-6,216.19,3.25,0.19,0.013,1,4265.07,4264.67
161,136,1N-3-6,1N-3-5,162.43,2.75,0.339,0.013,1,4249.77,4249.22
1610,136,6-2-6,6-2-7,488.41,3.25,0.09,0.013,1,4264.63,4264.19
1611,136,6-2-7,6-2-8,33.85,3.25,0.236,0.013,1,4264.13,4264.05
1612,136,6-2-8,6-2-9,719.84,3.25,0.088,0.013,1,4263.96,4263.33
1613,136,6-2-9,6-2-10,635.13,3.25,0.115,0.013,1,4263.32,4262.59
1614,136,6-2-10,6-2-11,44.2,2,2.78,0.013,1,4262.38,4261.15
1615,136,6-2-11,6-2-12,380.37,2.75,0.308,0.013,1,4260.7,4259.53
1616,136,6-2-12,6-2-13,458.89,2.75,0.292,0.013,1,4259.47,4258.13
162,136,1N-3-7,1N-3-6.1,426.36,2.75,0.26,0.013,1,4251,4250.78
