name,id,x,y,ground_elevation,invert_elevation,node_type
20-4-39,134,40606.1,63207.65,4404.43,4398.93,
20-4-40,134,40724.75,63274.93,4406.79,4394.5,
20-4-41,134,42054.08,62219.71,4421.51,4404.73,19
20-4-42,134,42204.81,62518.92,4419.35,4405.29,
20-4-43,134,42195.2,62623.67,4416.89,4405.59,19
20-4-44,134,42697.62,62616.37,4418.85,4406,
20-4-45,134,42837.59,62610.5,4420.32,4406.49,
20-4-46,134,43027.37,62633.82,4421.33,4406.67,19
20-4-47,134,43400.56,62623.62,4420.5,4407.07,19
20-4-48,134,43843.88,62626.34,4421.26,4407.62,
20-4-48.1,134,43841.37,62343.8,4424.47,4415.15,19
20-4-49,134,43849.84,62626.71,4421.34,4407.74,
20-4-50,134,43856,62924.1,4417.67,4408,
20-4-51,134,44173.3,62935.61,4418.32,4409.15,19
20-4-53,134,43838.99,62260.23,4425.76,4416.33,
20-4-53.1,134,43839.17,62174.83,4427.08,4417.39,19
20-4-54,134,43834.76,61905.01,4430.73,4421.26,
20-4-55,134,43830.54,61561.33,4437.44,4427.5,19
20-4-55.1,134,44160.64,61518.71,4439.16,4429.681,19
20-4-55.2,134,44226.91,61509.83,4439.95,4430.3,
20-4-56,134,43829.51,61498.26,4438.71,4429.08,
20-4-57,134,43816.96,61487.77,4439.06,4429.42,
20-4-57.1,134,43810.69,61454,4439.43,4429.92,
20-4-58,134,43764.56,61226.34,4442.59,4433.29,19
20-4-59,134,43751.29,61161.86,4443.83,4434.45,
20-4-60,134,41697.4,62052.46,4421.84,4413.19,
20-4-61,134,41744.34,61751.43,4423.51,4417.63,
20-4-62,134,41842.97,61599.81,4426.38,4419.52,
20-4-63,134,42065.81,61204.6,4429.78,4425.1,
20-4-64,134,42250.07,61014.52,4437.32,4428.57,
20-4-65,134,42389.67,60959.28,4438.95,4428.9,19
20-4-69,134,43298.14,62627.46,4421.04,4406.84,
21-1-1,134,44708.61,61446.75,4450.33,4437.31,
21-1-2,134,44912.31,61379.72,4456.77,4446.68,19
21-1-25,134,44419.72,62864.49,4420.35,4415.18,19
21-1-26,134,44548.86,62912.64,4420.87,4415.55,
21-1-27,134,45006.22,62959.47,4423.55,4418.01,
21-1-28,134,45362.75,62977.63,4429.54,4419.48,19
